PERIODO_COHORTE;CODIGO;GENERO;EDAD;COLEGIO_PROCEDENCIA;PUNT_TOTAL;PUNT_AREA;ES_DESERTOR
201210;33112029;F;22;INST TEC EMPRESARIAL;57;58;NO
201210;33112031;F;27;NINGUNA;51;52;SI
201210;33112050;F;31;COLEGIO NUESTRA SEÑORA DEL ROSARIO - TUNJA;337;141;SI
201210;33212006;F;23;INSTITUCIÓN EDUCATIVA COLEGIO DE SUGAMUXI;52;45;NO
201210;33212008;F;26;IE BRAULIO GONZALEZ;47;50;SI
201210;33212018;F;22;INSTITUCIÓN EDUCATIVA POLITÉCNICO ÁLVARO GONZÁLEZ SANTANA;55;53;NO
201210;33212024;M;26;IE CAMILO TORRES RESTREPO - MANÍ;47;48;NO
201210;33212039;F;24;INSTITUTO POLITECNICO SAN VICENTE DE PAUL;43;38;NO
201210;33312003;F;27;COLEGIO COOPERATIVO GABRIEL CAMARO PEREZ;48;50;NO
201210;33312006;F;24;INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL GUSTAVO JIMÉNEZ;49;51;NO
201210;33312009;F;39;INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO;41;38;NO
201210;33312010;M;26;INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL GUSTAVO JIMÉNEZ;51;46;SI
201210;33312013;F;28;COLEGIO CIUDAD DEL SOL;38;38;SI
201210;33312015;M;25;COLEGIO CIUDAD DEL SOL;40;40;NO
201210;33312023;F;23;COLEGIO CELCO;54;55;NO
201210;33312025;F;28;INSTITUCIÓN EDUCATIVA COLEGIO DE SUGAMUXI;48;46;NO
201210;33312026;M;22;INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL GUSTAVO JIMÉNEZ;79;67;NO
201210;33312027;M;24;LICEO ANGLO AMERICANO DE SOGAMOSO;50;42;NO
201210;33312029;M;37;INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO;40;38;SI
201210;33312030;F;29;COLEGIO NUESTRA SEÑORA DEL ROSARIO - TUNJA;52;68;NO
201210;33312038;F;26;I.E. ARMANDO SOLANO;41;41;SI
201210;33312039;F;33;LICEO ANGLO AMERICANO DE SOGAMOSO;52;48;NO
201210;33312040;M;25;INSTITUCIÓN EDUCATIVA COLEGIO DE SUGAMUXI;59;59;NO
201210;33312041;F;24;COLEGIO NUESTRA SEÑORA DEL ROSARIO - AYAPEL;58;61;NO
201210;33312048;M;23;INSTITUCIÓN EDUCATIVA COLEGIO DE SUGAMUXI;55;66;NO
201210;33312050;F;30;COLEGIO COOPERATIVO REYES PATRIA;46;50;NO
201210;33312053;F;23;INSTITUCIÓN EDUCATIVA POLITÉCNICO ÁLVARO GONZÁLEZ SANTANA;46;43;NO
201210;33312058;M;55;I.E.T AGRICOLA;61;61;SI
201210;33312061;F;33;INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO;42;39;SI
201210;33312062;M;29;COL NUEVO COLOMBO AMERICANO-BOGOTÁ, D.C.;41;32;SI
201210;33312064;F;27;INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO;55;56;NO
201210;33312068;M;25;INSTITUCIÓN EDUCATIVA POLITÉCNICO ÁLVARO GONZÁLEZ SANTANA;56;53;SI
201210;33312069;F;28;INST EDUC COLEGIO NACIONAL ENRIQUE OLAYA HERRERA-PUERTO LÓPEZ;51;46;NO
201210;33412001;F;22;COLEGIO NUESTRA SEÑORA DE NAZARETH;47;48;NO
201210;33412002;F;24;I.E.T. COMERCIAL SAGRADO CORAZON DE JESUS;43;44;NO
201210;33412003;M;24;I.E. JOSE JOAQUIN CASAS;51;48;NO
201210;33412004;F;23;I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA;57;57;NO
201210;33412008;M;31;I.E. JOSE JOAQUIN CASAS;45;46;NO
201210;33412010;F;24;I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA;46;51;NO
201210;33412013;F;23;COLEGIO NUESTRA SEÑORA DE NAZARETH;46;52;NO
201210;33412015;M;25;I.E. JOSE JOAQUIN CASAS;47;54;NO
201210;33412017;M;27;COLEGIO SEMINARIO MENOR DIOCESANO;45;45;SI
201210;33412019;M;25;I.E. JOSE JOAQUIN CASAS;40;38;NO
201210;33412020;F;23;I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA;54;50;NO
201210;33412023;M;36;I.E. TEC IND JULIO FLOREZ;44;44;SI
201210;33412024;F;26;COL MILITAR CORONEL FRAY JOSE IGNACIO MARIÑO;48;47;SI
201210;55112002;F;36;COLEGIO PIO XII DE CUNDINAMARCA;47;46;SI
201210;55112004;M;28;INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO;55;76;SI
201210;55112005;M;28;IE TEC JOSE IGNACIO DE MARQUEZ;47;47;SI
201210;55112006;F;21;INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES;54;55;NO
201210;55112008;M;26;INSTITUCIÓN EDUCATIVA URIBESCO;42;40;SI
201210;55112010;M;22;INSTITUCIÓN EDUCATIVA POLITÉCNICO ÁLVARO GONZÁLEZ SANTANA;54;51;NO
201210;55112011;F;29;COLEGIO JESUS EUCARISTIA;49;49;SI
201210;55212001;M;31;COLEGIO BOSTON;430;47;SI
201210;55212002;M;24;INSTITUCIÓN EDUCATIVA ANTONIO JOSÉ SANDOVAL GÓMEZ DE TUNJA;57;56;NO
201210;55212003;F;28;I.E. VALLE DE TENZA;42;43;SI
201210;55212004;M;22;COLEGIO HELADIA MEJIA  (IED);431;58;NO
201210;55212005;M;33;I.E.T. JOSE ACEVEDO Y GOMEZ;42;47;SI
201210;55212006;F;26;IE JESUS BERNAL PINZON;37;37;SI
201210;55212007;M;24;COLEGIO SALESIANO;43;42;NO
201210;55212008;M;25;INSTITUTO TECNICO INDUSTRIAL FRANCISCO DE PAULA SANTANDER;47;50;SI
201210;55212009;M;28;INST SOLUCION EDUCATIVA SOLED;282;31;SI
201210;55212011;M;28;COLEGIO COLOMBO BRITANICO - TUNJA;58;57;SI
201210;55212012;M;28;INST TEC EMPRESARIAL;41;42;SI
201210;55312001;F;27;IE LUIS HERNANDEZ VARGAS;36;34;SI
201210;55312002;F;23;COL. NTRA SRA DEL ROSARIO-CHIQUINQUIRÁ;50;52;NO
201210;55312003;F;28;INSTITUCIÓN EDUCATIVA LOS LIBERTADORES - SOGAMOSO;42;47;SI
201210;55312004;F;21;I.E. ANTONIO NARIÑO;54;54;NO
201210;55312005;M;32;INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL GUSTAVO JIMÉNEZ;42;41;SI
201210;55312006;M;29;I.E. EL ROSARIO - FLORENCIA;44;46;NO
201210;55312007;F;21;IE EZEQUIEL MORENO Y DIAZ;48;58;NO
201210;55312008;F;24;NINGUNA;50;52;NO
201210;55312010;F;21;COLEGIO JESUS EUCARISTIA;45;46;NO
201210;55312012;M;24;COLEGIO JESUS EUCARISTIA;39;47;NO
201210;55312013;M;23;INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES;55;58;NO
201210;55312014;F;23;IE LUCAS CABALLERO CALDERON;373;53;NO
201210;55312016;F;21;IE EZEQUIEL MORENO Y DIAZ;52;59;NO
201210;55312017;F;28;IE CAMILO TORRES RESTREPO - MANÍ;44;49;NO
201210;55312019;M;24;INSTITUCIÓN EDUCATIVA ANTONIO JOSÉ SANDOVAL GÓMEZ DE TUNJA;50;51;NO
201210;55312020;F;25;COL. NUESTRA SEÑORA DE FÁTIMA;59;57;SI
201210;55312021;M;20;I.E.T. SAN LUIS;55;56;NO
201210;55312022;M;27;I.E. TEC Y ACAD ANTONIO NARIÑO;44;50;SI
201210;55312024;F;27;INST TEC INTEGRADO DE TRINIDAD;49;45;SI
201210;55312029;F;22;COLEGIO DE BOYACÁ;49;49;NO
201210;55312030;M;21;INST TEC EMPRESARIAL;48;43;NO
201210;55312032;F;27;INST TEC DIVERSIFICADO MONTERREY;45;41;SI
201210;55312035;M;25;LICEO DE LA PRESENTACION;47;44;SI
201210;55312036;F;22;COLEGIO DE BOYACÁ;55;49;NO
201210;55312037;M;23;COLEGIO PARROQUIAL  INTEGRADO SANTA CRUZ-CACHIPAY;475;56;NO
201210;55312039;M;32;INSTITUTO POLITECNICO JOSE CELESTINO MUTIS - NEIVA;44;45;NO
201210;55312040;F;25;COLEGIO NUESTRA SEÑORA DE LOS ANGELES;51;52;SI
201210;55312042;F;21;I.E. ANTONIO NARIÑO;51;55;NO
201210;55312044;M;22;GIMNASIO CAMPESTRE SANTO DOMINGO;51;54;NO
201210;55312046;F;24;IE JESUS BERNAL PINZON;42;40;NO
201210;55312049;F;23;INSTITUCIÓN EDUCATIVA SAN JERÓNIMO EMILIANI;46;46;NO
201210;55312051;M;28;COL COOP PROSPERO PINZON;58;54;SI
201210;55312052;M;22;IE LEON DE GREIFF;49;59;NO
201210;55312053;M;29;COLEGIO JESUS EUCARISTIA;45;48;SI
201210;55312055;F;21;IE CAMILO TORRES RESTREPO - MANÍ;51;51;NO
201210;55312057;F;31;IE LUIS HERNANDEZ VARGAS;41;41;SI
201210;55312058;M;24;COLEGIO COLOMBO BRITANICO - TUNJA;56;56;NO
201210;55312059;F;23;INST TEC EMPRESARIAL;52;49;NO
201210;55312061;F;36;INST AUTONOMO SHAKESPEARE Y CERVANTES;52;42;SI
201210;55312062;F;26;IE CAMILO TORRES RESTREPO - MANÍ;48;55;SI
201210;55312063;M;26;INST TEC EMPRESARIAL;42;52;SI
201210;55312064;F;21;IE CENTRO SOCIAL;50;46;NO
201210;55312065;F;28;COLEGIO SALESIANO DUITAMA;53;54;SI
201210;55312066;M;23;I.E. FERNANDO RODRIGUEZ;40;37;NO
201210;55312067;M;24;INSTITUTO TÉCNICO SUPERIOR INDUSTRIAL;53;61;NO
201210;55312068;F;22;INST TEC EMPRESARIAL;47;42;NO
201210;55312069;M;30;IE TECNICA DE MONGUI;360;42;SI
201210;55312070;F;26;COLEGIO DEPARTAMENTAL PANAMERICANO;50;60;SI
201210;55312071;M;28;INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO;48;51;SI
201210;55312072;F;31;INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES;46;47;SI
201210;55312073;M;32;IE IGNACIO GIL SANABRIA;44;45;SI
201210;55312075;F;25;COLEGIO CRISTIANO FILADELFIA;41;53;NO
201210;55312076;M;26;IE JUAN JOSE RONDON - SOATÁ;46;59;SI
201210;55512001;M;31;INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL GUSTAVO JIMÉNEZ;440;52;SI
201210;55512003;M;28;GIMNASIO CAMPESTRE DEL NORTE;54;57;SI
201210;55512004;F;27;IE CAMILO TORRES RESTREPO - MANÍ;51;53;SI
201210;55512005;F;25;COLEGIO LA PRESENTACIÓN - DUITAMA;48;50;NO
201210;55512006;F;23;COLEGIO SAN JOSE DE CALASANZ - DUITAMA;46;50;NO
201210;55512007;M;22;INSTITUCIÓN EDUCATIVA COLEGIO DE SUGAMUXI;56;53;NO
201210;55512008;M;25;IE SAN ANTONIO;52;52;SI
201210;55512011;M;28;COLEGIO MILITAR INOCENCIO CHINCA;440;49;SI
201210;55512012;F;22;INST TEC EMPRESARIAL;61;66;NO
201210;55512014;F;21;I.E. LUIS HERNANDEZ VARGAS;47;48;NO
201210;55512015;F;22;I.E. JOSE ANTONIO GALAN - CUMARAL;54;53;NO
201210;55512016;M;27;I.E. JOSE JOAQUIN CASAS;480;56;SI
201210;55512017;M;22;IE NORMAL SUPERIOR DE MONTERREY;54;55;NO
201210;55512018;M;28;IE SAN ANTONIO;44;46;SI
201210;55512019;F;24;GIMNASIO CAMPESTRE DEL NORTE;56;59;NO
201210;55512022;F;19;ESCUELA NORMAL SUPERIOR LEONOR ALVAREZ PINZON;51;50;NO
201210;55512024;M;21;IE TECNICA NACIONALIZADA DE SAMACA;411;54;NO
201210;55512026;F;25;COLEGIO DE BOYACÁ;46;46;NO
201210;55512027;F;27;I.E. MARCO AURELIO BERNAL;47;48;NO
201210;55512028;F;22;INSTITUTO INTEGRADO DE COMERCIO;383;57;NO
201210;55512029;M;26;CENTRO EDUCATIVO SAN AGUSTIN;42;47;SI
201210;55512030;F;22;COLEGIO NUESTRA SEÑORA DE NAZARETH;49;52;NO
201210;55512031;F;24;IE IGNACIO GIL SANABRIA;46;46;NO
201210;55512032;F;26;INSTITUCION EDUCATIVA JORGE ELIECER GAITAN;326;203;SI
201210;55512033;F;26;COLEGIO NUEVA ESPERANZA UNAD;49;51;SI
201210;55512034;M;27;I.E.T AGRICOLA;51;50;SI
201210;55512035;M;30;IE NORMAL SUPERIOR - SABOYÁ;42;51;SI
201210;55512036;M;26;LICEO MODERNO;44;45;SI
201210;55512037;F;22;COLEGIO NACIONALIZADO INTEGRADO;51;56;NO
201210;55512038;F;26;COLEGIO LA PRESENTACIÓN - DUITAMA;50;49;SI
201210;55512039;F;26;IE NORMAL SUPERIOR DE MONTERREY;42;47;SI
201210;55512040;F;27;IE RIO DE PIEDRAS;54;52;NO
201210;55512041;M;26;NINGUNA;408;43;NO
201210;55512042;F;24;LICEO DE LA PRESENTACIÓN;50;50;NO
201210;55512043;F;26;COLEGIO CORPORACION SANTO DOMINGO;45;46;SI
201210;55512045;F;22;I.E. SILVINO RODRIGUEZ;53;54;NO
201210;55512049;F;26;IE SIGLO XXI;47;47;NO
201210;55512050;M;26;INST TEC EMPRESARIAL;41;42;SI
201210;55512051;F;27;INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES;337;214;SI
201210;55512052;F;23;COLEGIO LA PRESENTACIÓN - DUITAMA;49;50;NO
201210;55512053;M;23;INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES;443;51;NO
201210;55512054;F;27;I.E.T. COMERCIAL;54;50;SI
201210;55512055;F;23;ESCUELA NORMAL SUPERIOR LEONOR ALVAREZ PINZON;49;48;NO
201210;55512056;F;25;IE SIMON BOLIVAR (EL CHIRE);47;51;NO
201210;55512057;M;22;COLEGIO SALESIANO MALDONADO;59;55;NO
201210;55512058;F;21;I.E. ANTONIO NARIÑO;59;58;NO
201210;55512059;M;26;COLEGIO ANDINO;55;58;SI
201210;55512060;M;27;COLEGIO DE BOYACÁ;51;50;SI
201210;55512061;F;27;INST TEC EMPRESARIAL;46;45;SI
201210;55512063;M;21;INST TEC EMPRESARIAL;56;59;NO
201210;55512064;M;26;COLEGIO BILINGÜE JOSE ALLAMANO;54;57;SI
201210;55512065;M;28;I.E. JORGE ELIECER GAITAN - SABANALARGA;52;53;SI
201210;55512066;M;25;I.E. JORGE ELIECER GAITAN - SABANALARGA;47;52;NO
201210;55512068;M;27;INSTITUCIÓN EDUCATIVA JOSEÁ MARÍA SILVA SALAZAR;53;49;SI
201210;55512069;M;27;IE BRAULIO GONZALEZ;51;53;SI
201210;55512070;F;29;I.E.T. SAN LUIS;411;48;SI
201210;55512071;F;28;INST TEC INTEGRADO DE TRINIDAD;45;42;SI
201210;55512072;M;23;INSTITUTO TECNICO INDUSTRIAL EMETERIO DUARTE SUAREZ;64;62;NO
201210;55512073;M;26;IE JOSE MARIA CORDOBA - FLORIDA;45;46;SI
201210;55512074;F;26;COLEGIO DEPARTAMENTAL DEL CARMEN;41;43;SI
201210;55512075;F;27;COUNTRY BILINGUAL SCHOOL;52;51;SI
201210;55512076;F;19;INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL GUSTAVO JIMÉNEZ;52;51;NO
201210;55512077;F;28;INSTITUCIÓN EDUCATIVA CANDIDO LEGUIZAMO;53;52;SI
201210;55512078;M;25;IE JUAN JOSE RONDON - SOATÁ;46;54;SI
201210;55512081;F;28;IE BRAULIO GONZALEZ;52;56;NO
201210;55512082;M;28;IE TECNICA NACIONALIZADA DE SAMACA;34;41;SI
201210;55512083;F;27;I.E. ANTONIO NARIÑO;54;49;NO
201210;55512084;M;31;COLEGIO DEPARTAMENTAL JORGE ELICER GAITAN;264;40;SI
201210;55612003;M;23;INST TEC EMPRESARIAL;49;51;NO
201210;55612004;M;21;COL ORIENTAL NO 26;57;59;NO
201210;55612005;M;25;I.E. JOSE MARIA POTIER;396;120;NO
201210;55612007;M;24;I.E. SILVINO RODRIGUEZ;59;61;NO
201210;55612008;M;27;COLEGIO MILITAR CORONEL JUAN JOSE RONDON;373;48;SI
201210;55612009;M;28;I.E. SILVINO RODRIGUEZ;62;63;SI
201210;55612010;M;24;IE CAMILO TORRES RESTREPO - MANÍ;51;53;NO
201210;55612011;M;23;INSTITUTO TECNICO INDUSTRIAL FRANCISCO DE PAULA SANTANDER;49;51;NO
201210;55612012;M;27;IE HECTOR JULIO GOMEZ;40;42;SI
201210;55612013;M;22;I.E.M. NORMAL SUPERIOR DE PASTO;62;62;NO
201210;55612014;M;27;I.E. TEC Y ACAD ANTONIO NARIÑO;341;48;SI
201210;55612015;F;23;IE LUCILA PIRAGAUTA;51;55;NO
201210;55612016;M;26;I.E. TEC Y ACAD ANTONIO NARIÑO;50;60;SI
201210;55612017;M;22;I.E. SAN FELIPE;58;53;NO
201210;55612018;M;26;COLEGIO ANDINO;59;58;SI
201210;55612019;M;27;INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL GUSTAVO JIMÉNEZ;47;56;SI
201210;55612020;M;26;COLEGIO TRUJILLO;53;56;SI
201210;55612021;M;27;COLEGIO TRUJILLO;41;39;SI
201210;55612022;M;26;IE CENTRO SOCIAL;60;66;NO
201210;55612024;M;26;I.E. SILVINO RODRIGUEZ;53;53;SI
201210;55612025;M;31;COL DULCE CORAZON DE MARIA;49;46;SI
201210;55612026;M;27;LICEO ANGLO AMERICANO DE SOGAMOSO;42;40;SI
201210;55612027;M;23;COL. NUESTRA SEÑORA DE FÁTIMA;49;58;NO
201210;55612030;M;26;COLEGIO SALESIANO;47;50;SI
201210;55612031;M;21;INSTITUTO TECNICO INDUSTRIAL PILOTO;54;58;NO
201210;55612032;M;27;COL MILITAR CORONEL FRAY JOSE IGNACIO MARIÑO;57;61;SI
201210;55612033;M;27;INSTITUCIÓN EDUCATIVA SAN JERÓNIMO EMILIANI;46;46;NO
201210;55612034;M;27;INSTITUCIÓN EDUCATIVA TÉCNICA PEDRO JOSÉ SARMIENTO;51;55;SI
201210;55612035;M;26;INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO;49;45;SI
201210;55612036;M;24;COLEGIO MILITAR INOCENCIO CHINCA;49;51;NO
201210;55612037;M;26;I.E. SAN JUAN BOSCO;56;51;SI
201210;55712003;M;25;COLEGIO CELCO;51;51;NO
201210;55712004;F;27;COLEGIO COOPERATIVO GABRIEL CAMARO PEREZ;44;44;SI
201210;55712011;M;28;INSTITUCIÓN EDUCATIVA COLEGIO DE SUGAMUXI;49;48;SI
201210;55712012;F;26;IE NORMAL SUPERIOR DE MONTERREY;48;45;SI
201210;55712017;F;26;INSTITUCIÓN EDUCATIVA ANTONIO NARIÑO;38;38;SI
201210;55712018;F;24;I.E.T. DE NAZARETH;43;46;NO
201210;55712020;F;26;CENTRO EDUCATIVO VALENTIN GARCIA;40;39;SI
201210;55712021;M;24;INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO;57;54;NO
