,n_semesters,sum_credits,GPA,failed_subjects,FACULTAD,NOMBRE_PROGRAMA,gpa_last_semester,GENERO,EDAD,COLEGIO_PROCEDENCIA,PUNT_TOTAL,PUNT_AREA,ES_DESERTOR,Codigo
20,10,123.0,3.261788617886179,11,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.7,F,25.0,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,43,44,SI,11312514
21,1,22.0,3.277272727272728,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.28,M,31.0,INSTITUCIÓN EDUCATIVA SERGIO CAMARGO - MIRAFLORES,380,50,SI,11312515
22,8,111.0,2.8630630630630627,15,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.48,M,32.0,INSTITUCIÓN EDUCATIVA ANTONIO NARIÑO,414,46,SI,11312518
23,1,13.0,0.15384615384615385,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.15,M,29.0,I.E. RAFAEL REYES,485,55,SI,11312519
24,1,15.0,3.3933333333333335,0,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.39,F,28.0,IE TECNICA RAMON IGNACIO AVELLA,42,41,SI,11312520
25,13,159.0,3.0937106918238997,15,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.35,M,30.0,COL DULCE CORAZON DE MARIA,375,41,NO,11312521
26,11,154.0,3.52012987012987,6,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.8,M,34.0,INSTITUTO DE FOMACION EDUCATIVA E INVESTIGACION,430,43,NO,11313001
27,3,85.0,4.167058823529412,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.1,F,28.0,INSTITUCIÓN EDUCATIVA ANTONIO JOSÉ SANDOVAL GÓMEZ DE TUNJA,426,46,SI,11313005
28,1,15.0,2.8866666666666663,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.89,M,25.0,I.E.T. SAN LUIS,367,58,SI,11313006
29,11,145.0,3.6717241379310344,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,5.0,F,26.0,INSTITUTO TECNICO INTEGRADO DE TRINIDAD,318,53,NO,11313007
30,1,22.0,1.486363636363636,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.49,M,29.0,COLEGIO SALESIANO,455,52,SI,11313008
31,9,139.0,4.000719424460431,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.59,F,21.0,COLEGIO DE BOYACÁ,322,50,NO,11313009
32,12,142.0,3.726760563380282,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.52,F,28.0,COLEGIO INTEGRADO SIMON BOLIVAR,416,47,NO,11313011
33,1,15.0,1.9733333333333334,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.97,M,25.0,IE FRANCISCO JOSE DE CALDAS,309,34,SI,11313012
34,1,15.0,4.226666666666667,0,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.23,F,25.0,COLEGIO NUESTRA SEÑORA DE NAZARETH,360,53,SI,11313013
35,8,139.0,4.032374100719425,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.2,M,26.0,COLEGIO CRISTIANO FILADELFIA,366,47,SI,11313016
36,7,68.0,2.4955882352941177,15,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.76,M,32.0,IE ANTONIO RICAURTE,442,48,SI,11313017
37,7,107.0,3.443925233644859,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.24,F,33.0,INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL GUSTAVO JIMÉNEZ,342,49,SI,11313018
38,14,178.0,3.250561797752809,20,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.49,F,25.0,IE ANTONIO RICAURTE-SANTANA,345,39,NO,11313501
39,9,139.0,3.7158273381294964,3,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.09,M,41.0,INSTITUTO DE BACHILLERATO TECNICO INDUSTRIAL Y MINERO,291,57,SI,11313502
40,8,141.0,3.789361702127659,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.4,M,33.0,ESCUELA NORMAL SUPERIOR SANTIAGO DE TUNJA,507,53,NO,11313503
41,10,141.0,3.928368794326242,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.45,F,22.0,IE JUAN JOSE RONDON - SOATÁ,50,52,NO,11313504
42,8,81.0,2.898765432098765,15,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.86,M,27.0,INSTITUCION EDUCATIVA SAN JERONIMO EMILIANI,357,48,SI,11313505
43,1,15.0,3.9533333333333336,0,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.95,F,26.0,IE TEC SEÑOR DE LOS MILAGROS,416,50,SI,11313506
44,2,49.0,1.9795918367346939,14,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.0,M,26.0,COLEGIO CORPORACION SANTO DOMINGO,404,46,SI,11313511
45,6,77.0,2.6454545454545455,12,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.0,F,29.0,COLEGIO SALESIANO,368,41,SI,11313512
46,1,15.0,2.9466666666666663,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.95,M,24.0,I.E. ANTONIO NARIÑO,395,41,SI,11313514
47,1,22.0,1.2181818181818183,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.22,M,29.0,COLEGIO SALESIANO,455,52,SI,11314001
48,10,139.0,3.8546762589928054,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.07,F,30.0,ESCUELA NORMAL  SUPERIOR ANTONIA SANTOS,486,51,NO,11314002
49,1,15.0,0.9133333333333333,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.91,M,27.0,COLEGIO JESUS EUCARISTIA,345,49,SI,11314003
51,1,11.0,1.9818181818181815,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.98,M,27.0,COLEGIO BOYACA DE DUITAMA,381,59,SI,11314006
52,2,25.0,2.984,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.88,F,27.0,COLEGIO COLOMBO BRITANICO - TUNJA,268,32,SI,11314008
53,2,45.0,3.1422222222222222,6,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.54,F,28.0,COLEGIO LA PRESENTACIÓN - DUITAMA,373,45,SI,11314009
54,4,58.0,2.993103448275862,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.24,M,25.0,IE FRANCISCO JOSE DE CALDAS,309,40,SI,11314010
55,9,141.0,3.8177304964539003,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.04,F,31.0,INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES,46,41,NO,11314012
56,10,141.0,3.6872340425531913,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.65,M,25.0,IE RAFAEL URIBE URIBE,41,44,NO,11314501
57,10,147.0,3.740816326530613,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.9,F,24.0,COLEGIO LA PRESENTACIÓN - DUITAMA,438,51,NO,11314502
58,4,34.0,2.9147058823529415,10,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.8,M,24.0,IE TEC JOSE IGNACIO DE MARQUEZ,325,45,SI,11314503
59,3,26.0,2.4692307692307693,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.2,M,28.0,INSTITUTO DE FORMACIÓN TÉCNICA - INFORTEC,327,46,SI,11314504
60,9,139.0,4.08273381294964,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.53,F,22.0,IE SAN ANTONIO DE PADUA,333,46,NO,11314506
61,1,15.0,1.3133333333333335,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.31,M,27.0,IE DEL LLANO,44,47,SI,11315001
62,4,51.0,3.4901960784313726,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.73,M,25.0,INSTITUCIÓN EDUCATIVA URIBESCO,388,42,SI,11315004
63,12,146.0,3.4486301369863015,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.24,F,29.0,INSTITUCIÓN EDUCATIVA TECNICA SAN LUIS,419,45,NO,11315005
64,1,29.0,1.4689655172413794,9,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.0,F,25.0,I.E. JUAN JOSE NEIRA,390,41,SI,11315006
65,1,15.0,1.2533333333333334,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.25,F,34.0,IE IGNACIO GIL SANABRIA,369,42,SI,11315007
66,1,15.0,3.026666666666667,3,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.03,F,22.0,I.E. LUIS ENRIQUE BARON LEAL,315,47,SI,11315011
67,10,169.0,3.6319526627218925,13,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.7,F,26.0,COLEGIO DE BACHILLERATO NUEVA ESPERANZA,370,42,NO,11315502
68,10,141.0,3.7290780141843967,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.46,F,22.0,IE DIEGO DE TORRES,355,50,NO,11315503
69,10,146.0,3.6342465753424653,12,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.13,F,22.0,IE DE EDUC BAS Y MEDIA TEC JOSE ANTONIO PAEZ,281,56,NO,11315512
70,10,144.0,3.8326388888888894,3,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.9,F,22.0,COLEGIO ISABEL VALBUENA CIFUENTES,273,54,NO,11316001
71,1,15.0,3.3666666666666667,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.37,F,25.0,CENTRO DE ESTUDIOS HUITAKA,285,36,SI,11316002
72,1,15.0,2.08,6,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.08,M,23.0,COL INTERAMERICANO,252,52,SI,11316003
73,2,29.0,3.3137931034482757,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.25,F,23.0,IE EZEQUIEL MORENO Y DIAZ,234,48,SI,11316004
74,9,127.0,3.999212598425197,0,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.32,M,23.0,IE BRAULIO GONZALEZ,258,50,NO,11316005
75,10,138.0,3.715942028985507,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.16,F,28.0,CENTRO EDUCATIVO ANTONIO NARIÑO,371,42,NO,11316006
76,5,74.0,3.0094594594594595,11,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.63,M,21.0,"COL PARROQ SAN LUIS GONZAGA - BOGOTÁ, D.C.",428,61,NO,11316007
77,10,144.0,3.936111111111112,3,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.37,F,22.0,COL HENRY WALLON,260,53,NO,11316008
78,10,135.0,3.4711111111111115,13,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.54,F,25.0,COLEGIO ANTONIO NARIÑO,402,43,NO,11316010
79,1,15.0,0.5466666666666666,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.55,M,27.0,COLEGIO NUESTRA SEÑORA DEL ROSARIO - TUNJA,386,51,SI,11316014
80,4,43.0,2.834883720930233,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.0,M,25.0,COLEGIO PANAMERICANO,267,55,SI,11316501
81,1,13.0,2.9538461538461545,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.95,M,22.0,IE TEC JOSE BENIGNO PERILLA,233,46,SI,11316502
82,8,108.0,3.2231481481481485,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.57,F,25.0,IE HECTOR JULIO GOMEZ,39,41,NO,11316503
83,7,144.0,3.589583333333333,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.0,F,25.0,I.E.T. CARLOS ALBERTO OLANO VALDERRAMA,42,41,NO,11316504
84,1,13.0,2.630769230769231,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.63,M,23.0,COL INTERAMERICANO,252,50,SI,11316505
85,4,45.0,2.58,11,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.58,F,23.0,CENTRO EDUCATIVO JUAN DE LA SALLE,208,41,SI,11316507
86,3,33.0,2.724242424242424,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.29,F,24.0,I.E. CAMPO ELIAS CORTES,46,50,SI,11316508
87,7,126.0,3.999206349206349,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.38,F,27.0,I.E. ANTONIO NARIÑO,48,45,NO,11316510
88,2,29.0,2.7517241379310344,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.74,M,23.0,I.E. VALLE DE TENZA,236,48,SI,11317004
89,2,29.0,2.7896551724137932,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.72,F,21.0,I.E. VALLE DE TENZA,293,56,SI,11317005
90,1,15.0,3.7199999999999998,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.72,M,21.0,INSTITUCIÓN EDUCATIVA SAN LUIS DE GACENO,311,61,SI,11317006
91,2,29.0,1.9517241379310346,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.04,M,22.0,COLEGIO LUIS HERNÁNDEZ VARGAS,202,42,SI,11317007
92,6,76.0,3.0302631578947365,13,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.34,M,21.0,IE JORGE ELIECER GAITAN - LA SALINA,260,49,NO,11317009
95,7,97.0,3.3979381443298964,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.8,M,23.0,INSTITUCION EDUCATIVA SAN LUIS DE GACENO,253,52,NO,11317502
96,6,89.0,4.176404494382022,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.43,F,21.0,COLEGIO NACIONALIZADO ANTONIO RICAURTE,284,56,NO,11317503
97,7,101.0,3.9673267326732673,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.11,M,21.0,COLEGIO LUIS HERNÁNDEZ VARGAS,286,56,NO,11317504
98,6,90.0,4.087777777777777,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.11,M,20.0,I.E. PLINIO MENDOZA NEIRA,285,55,NO,11317505
99,2,29.0,3.5172413793103448,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.37,F,26.0,CENTRO DE EDUCACIÓN INTEGRAL JUAN DE LA SALLE,278,57,SI,11317506
100,1,15.0,1.8666666666666667,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.87,M,20.0,COLEGIO PROSPERO PINZÓN,221,48,SI,11318001
101,5,67.0,2.843283582089552,13,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.42,M,27.0,COLEGIO CORPORACION SANTO DOMINGO,302,60,NO,11318002
102,4,47.0,2.078723404255319,14,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.85,F,20.0,I.E. TEC JACINTO VEGA,293,58,NO,11318003
103,6,88.0,4.0806818181818185,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.26,M,21.0,"LIC  ERNESTO CARDENAL-BOGOTÁ, D.C.",283,57,NO,11318004
104,1,15.0,3.48,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.48,M,22.0,I.E. JOSE MARIA POTIER,255,51,SI,11318007
105,6,141.0,3.499290780141844,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.36,F,27.0,IE ANTONIO RICAURTE,44,45,NO,11318015
106,4,77.0,3.32077922077922,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.86,F,25.0,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,43,45,NO,11318017
107,1,15.0,2.253333333333333,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.25,F,19.0,INSTITUCIÓN EDUCATIVA VALLE DE TENZA,287,56,NO,11318503
108,4,55.0,3.461818181818182,3,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.71,M,21.0,I.E. TEC JACINTO VEGA,309,61,NO,11318504
109,2,29.0,3.572413793103448,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.76,F,20.0,IE PANAMERICANO PUENTE BOYACA,278,54,NO,11318505
110,1,15.0,1.0266666666666666,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.03,M,24.0,COLEGIO DE BACHILLERATO NUEVA ESPERANZA,297,58,NO,11318506
111,3,43.0,3.2976744186046516,3,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.19,F,21.0,COLEGIO LUIS CARLOS GALÁN SARMIENTO,239,47,NO,11318507
112,1,13.0,3.107692307692308,3,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.11,M,20.0,INSTITUCIÓN EDUCATIVA HÉCTOR JULIO GÓMEZ,260,52,NO,11318508
113,1,14.0,1.5071428571428573,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.51,M,25.0,COLEGIO CORPORACION SANTO DOMINGO,294,58,NO,11318509
114,5,69.0,3.789855072463768,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.24,M,20.0,COLEGIO NACIONALIZADO JUAN JOSE RONDÓN,299,58,NO,11318510
115,1,15.0,1.7800000000000002,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.78,M,22.0,LIC TEQUENDAMA-LA MESA,284,58,NO,11318511
