,n_semesters,sum_credits,GPA,failed_subjects,FACULTAD,NOMBRE_PROGRAMA,gpa_last_semester,GENERO,EDAD,COLEGIO_PROCEDENCIA,ES_DESERTOR,Codigo,PUNT_TOTAL_NORMALIZED,PUNT_AREA_NORMALIZED
30,1,22.0,1.486363636363636,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.49,M,29.0,COLEGIO SALESIANO,SI,11313008,0.5273311897106109,0.07792207792207792
31,9,139.0,4.000719424460431,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.59,F,21.0,COLEGIO DE BOYACÁ,NO,11313009,0.38478027867095393,0.07467532467532467
32,12,142.0,3.726760563380282,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.52,F,28.0,COLEGIO INTEGRADO SIMON BOLIVAR,NO,11313011,0.48553054662379425,0.06980519480519481
33,1,15.0,1.9733333333333334,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.97,M,25.0,IE FRANCISCO JOSE DE CALDAS,SI,11313012,0.37084673097534837,0.048701298701298704
34,1,15.0,4.226666666666667,0,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.23,F,25.0,COLEGIO NUESTRA SEÑORA DE NAZARETH,SI,11313013,0.4255091103965702,0.07954545454545454
35,8,139.0,4.032374100719425,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.2,M,26.0,COLEGIO CRISTIANO FILADELFIA,SI,11313016,0.4319399785637728,0.06980519480519481
36,7,68.0,2.4955882352941177,15,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.76,M,32.0,IE ANTONIO RICAURTE,SI,11313017,0.5133976420150054,0.07142857142857142
37,7,107.0,3.443925233644859,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.24,F,33.0,INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL GUSTAVO JIMÉNEZ,SI,11313018,0.4062165058949625,0.07305194805194805
38,14,178.0,3.250561797752809,20,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.49,F,25.0,IE ANTONIO RICAURTE-SANTANA,NO,11313501,0.40943193997856375,0.05681818181818182
39,9,139.0,3.7158273381294964,3,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.09,M,41.0,INSTITUTO DE BACHILLERATO TECNICO INDUSTRIAL Y MINERO,SI,11313502,0.3515541264737406,0.08603896103896104
40,8,141.0,3.789361702127659,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.4,M,33.0,ESCUELA NORMAL SUPERIOR SANTIAGO DE TUNJA,NO,11313503,0.5830653804930332,0.07954545454545454
41,10,141.0,3.928368794326242,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.45,F,22.0,IE JUAN JOSE RONDON - SOATÁ,NO,11313504,0.0932475884244373,0.07792207792207792
42,8,81.0,2.898765432098765,15,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.86,M,27.0,INSTITUCION EDUCATIVA SAN JERONIMO EMILIANI,SI,11313505,0.42229367631296894,0.07142857142857142
43,1,15.0,3.9533333333333336,0,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.95,F,26.0,IE TEC SEÑOR DE LOS MILAGROS,SI,11313506,0.48553054662379425,0.07467532467532467
44,2,49.0,1.9795918367346939,14,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.0,M,26.0,COLEGIO CORPORACION SANTO DOMINGO,SI,11313511,0.47266881028938906,0.06818181818181819
45,6,77.0,2.6454545454545455,12,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.0,F,29.0,COLEGIO SALESIANO,SI,11313512,0.4340836012861736,0.06006493506493507
46,1,15.0,2.9466666666666663,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.95,M,24.0,I.E. ANTONIO NARIÑO,SI,11313514,0.4630225080385852,0.06006493506493507
47,1,22.0,1.2181818181818183,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.22,M,29.0,COLEGIO SALESIANO,SI,11314001,0.5273311897106109,0.07792207792207792
48,10,139.0,3.8546762589928054,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.07,F,30.0,ESCUELA NORMAL  SUPERIOR ANTONIA SANTOS,NO,11314002,0.5605573419078242,0.0762987012987013
49,1,15.0,0.9133333333333333,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.91,M,27.0,COLEGIO JESUS EUCARISTIA,SI,11314003,0.40943193997856375,0.07305194805194805
51,1,11.0,1.9818181818181815,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.98,M,27.0,COLEGIO BOYACA DE DUITAMA,SI,11314006,0.4480171489817792,0.08928571428571429
52,2,25.0,2.984,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.88,F,27.0,COLEGIO COLOMBO BRITANICO - TUNJA,SI,11314008,0.32690246516613075,0.045454545454545456
53,2,45.0,3.1422222222222222,6,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.54,F,28.0,COLEGIO LA PRESENTACIÓN - DUITAMA,SI,11314009,0.4394426580921758,0.06655844155844157
54,4,58.0,2.993103448275862,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.24,M,25.0,IE FRANCISCO JOSE DE CALDAS,SI,11314010,0.37084673097534837,0.05844155844155845
55,9,141.0,3.8177304964539003,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.04,F,31.0,INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES,NO,11314012,0.08896034297963558,0.06006493506493507
56,10,141.0,3.6872340425531913,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.65,M,25.0,IE RAFAEL URIBE URIBE,NO,11314501,0.08360128617363344,0.06493506493506494
57,10,147.0,3.740816326530613,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.9,F,24.0,COLEGIO LA PRESENTACIÓN - DUITAMA,NO,11314502,0.5091103965702036,0.0762987012987013
58,4,34.0,2.9147058823529415,10,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.8,M,24.0,IE TEC JOSE IGNACIO DE MARQUEZ,SI,11314503,0.3879957127545552,0.06655844155844157
59,3,26.0,2.4692307692307693,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.2,M,28.0,INSTITUTO DE FORMACIÓN TÉCNICA - INFORTEC,SI,11314504,0.39013933547695606,0.06818181818181819
60,9,139.0,4.08273381294964,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.53,F,22.0,IE SAN ANTONIO DE PADUA,NO,11314506,0.3965702036441586,0.06818181818181819
61,1,15.0,1.3133333333333335,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.31,M,27.0,IE DEL LLANO,SI,11315001,0.08681672025723472,0.06980519480519481
62,4,51.0,3.4901960784313726,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.73,M,25.0,INSTITUCIÓN EDUCATIVA URIBESCO,SI,11315004,0.4555198285101822,0.061688311688311695
63,12,146.0,3.4486301369863015,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.24,F,29.0,INSTITUCIÓN EDUCATIVA TECNICA SAN LUIS,NO,11315005,0.4887459807073955,0.06655844155844157
64,1,29.0,1.4689655172413794,9,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.0,F,25.0,I.E. JUAN JOSE NEIRA,SI,11315006,0.45766345123258306,0.06006493506493507
65,1,15.0,1.2533333333333334,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.25,F,34.0,IE IGNACIO GIL SANABRIA,SI,11315007,0.43515541264737406,0.061688311688311695
66,1,15.0,3.026666666666667,3,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.03,F,22.0,I.E. LUIS ENRIQUE BARON LEAL,SI,11315011,0.37727759914255093,0.06980519480519481
67,10,169.0,3.6319526627218925,13,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.7,F,26.0,COLEGIO DE BACHILLERATO NUEVA ESPERANZA,NO,11315502,0.4362272240085745,0.061688311688311695
68,10,141.0,3.7290780141843967,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.46,F,22.0,IE DIEGO DE TORRES,NO,11315503,0.42015005359056806,0.07467532467532467
69,10,146.0,3.6342465753424653,12,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.13,F,22.0,IE DE EDUC BAS Y MEDIA TEC JOSE ANTONIO PAEZ,NO,11315512,0.3408360128617363,0.08441558441558442
70,10,144.0,3.8326388888888894,3,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.9,F,22.0,COLEGIO ISABEL VALBUENA CIFUENTES,NO,11316001,0.33226152197213293,0.08116883116883117
71,1,15.0,3.3666666666666667,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.37,F,25.0,CENTRO DE ESTUDIOS HUITAKA,SI,11316002,0.34512325830653806,0.05194805194805195
72,1,15.0,2.08,6,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.08,M,23.0,COL INTERAMERICANO,SI,11316003,0.30975348338692393,0.07792207792207792
73,2,29.0,3.3137931034482757,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.25,F,23.0,IE EZEQUIEL MORENO Y DIAZ,SI,11316004,0.2904608788853162,0.07142857142857142
74,9,127.0,3.999212598425197,0,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.32,M,23.0,IE BRAULIO GONZALEZ,NO,11316005,0.3161843515541265,0.07467532467532467
75,10,138.0,3.715942028985507,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.16,F,28.0,CENTRO EDUCATIVO ANTONIO NARIÑO,NO,11316006,0.43729903536977494,0.061688311688311695
76,5,74.0,3.0094594594594595,11,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.63,M,21.0,"COL PARROQ SAN LUIS GONZAGA - BOGOTÁ, D.C.",NO,11316007,0.4983922829581994,0.09253246753246754
77,10,144.0,3.936111111111112,3,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.37,F,22.0,COL HENRY WALLON,NO,11316008,0.3183279742765273,0.07954545454545454
78,10,135.0,3.4711111111111115,13,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.54,F,25.0,COLEGIO ANTONIO NARIÑO,NO,11316010,0.4705251875669882,0.06331168831168832
79,1,15.0,0.5466666666666666,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.55,M,27.0,COLEGIO NUESTRA SEÑORA DEL ROSARIO - TUNJA,SI,11316014,0.4533762057877814,0.0762987012987013
80,4,43.0,2.834883720930233,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.0,M,25.0,COLEGIO PANAMERICANO,SI,11316501,0.3258306538049303,0.08279220779220779
81,1,13.0,2.9538461538461545,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.95,M,22.0,IE TEC JOSE BENIGNO PERILLA,SI,11316502,0.28938906752411575,0.06818181818181819
82,8,108.0,3.2231481481481485,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.57,F,25.0,IE HECTOR JULIO GOMEZ,NO,11316503,0.08145766345123258,0.06006493506493507
83,7,144.0,3.589583333333333,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.0,F,25.0,I.E.T. CARLOS ALBERTO OLANO VALDERRAMA,NO,11316504,0.08467309753483387,0.06006493506493507
84,1,13.0,2.630769230769231,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.63,M,23.0,COL INTERAMERICANO,SI,11316505,0.30975348338692393,0.07467532467532467
85,4,45.0,2.58,11,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.58,F,23.0,CENTRO EDUCATIVO JUAN DE LA SALLE,SI,11316507,0.26259378349410506,0.06006493506493507
86,3,33.0,2.724242424242424,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.29,F,24.0,I.E. CAMPO ELIAS CORTES,SI,11316508,0.08896034297963558,0.07467532467532467
87,7,126.0,3.999206349206349,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.38,F,27.0,I.E. ANTONIO NARIÑO,NO,11316510,0.09110396570203644,0.06655844155844157
88,2,29.0,2.7517241379310344,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.74,M,23.0,I.E. VALLE DE TENZA,SI,11317004,0.29260450160771706,0.07142857142857142
89,2,29.0,2.7896551724137932,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.72,F,21.0,I.E. VALLE DE TENZA,SI,11317005,0.3536977491961415,0.08441558441558442
90,1,15.0,3.7199999999999998,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.72,M,21.0,INSTITUCIÓN EDUCATIVA SAN LUIS DE GACENO,SI,11317006,0.3729903536977492,0.09253246753246754
91,2,29.0,1.9517241379310346,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.04,M,22.0,COLEGIO LUIS HERNÁNDEZ VARGAS,SI,11317007,0.25616291532690244,0.061688311688311695
92,6,76.0,3.0302631578947365,13,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.34,M,21.0,IE JORGE ELIECER GAITAN - LA SALINA,NO,11317009,0.3183279742765273,0.07305194805194805
95,7,97.0,3.3979381443298964,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.8,M,23.0,INSTITUCION EDUCATIVA SAN LUIS DE GACENO,NO,11317502,0.3108252947481243,0.07792207792207792
96,6,89.0,4.176404494382022,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.43,F,21.0,COLEGIO NACIONALIZADO ANTONIO RICAURTE,NO,11317503,0.3440514469453376,0.08441558441558442
97,7,101.0,3.9673267326732673,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.11,M,21.0,COLEGIO LUIS HERNÁNDEZ VARGAS,NO,11317504,0.3461950696677385,0.08441558441558442
98,6,90.0,4.087777777777777,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.11,M,20.0,I.E. PLINIO MENDOZA NEIRA,NO,11317505,0.34512325830653806,0.08279220779220779
99,2,29.0,3.5172413793103448,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.37,F,26.0,CENTRO DE EDUCACIÓN INTEGRAL JUAN DE LA SALLE,SI,11317506,0.33762057877813506,0.08603896103896104
100,1,15.0,1.8666666666666667,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.87,M,20.0,COLEGIO PROSPERO PINZÓN,SI,11318001,0.2765273311897106,0.07142857142857142
101,5,67.0,2.843283582089552,13,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.42,M,27.0,COLEGIO CORPORACION SANTO DOMINGO,NO,11318002,0.36334405144694537,0.09090909090909091
102,4,47.0,2.078723404255319,14,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.85,F,20.0,I.E. TEC JACINTO VEGA,NO,11318003,0.3536977491961415,0.08766233766233766
103,6,88.0,4.0806818181818185,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.26,M,21.0,"LIC  ERNESTO CARDENAL-BOGOTÁ, D.C.",NO,11318004,0.3429796355841372,0.08603896103896104
