PERIODO_COHORTE,CODIGO,GENERO,EDAD,COLEGIO_PROCEDENCIA,PUNT_TOTAL,PUNT_AREA,ES_DESERTOR,ULTIMA_MATRICULA,COD_MEN,AÑO,SEMESTRE,FECHA
201210,11912006,f,23,colegio nuestra senora de nazareth,47,54,no,201610,20739,2012,semestre 1,2012-02-01
201210,11912007,f,27,i.e. tec ind julio florez,49,46,si,201210,20739,2012,semestre 1,2012-02-01
201210,11912008,f,21,i.e.t. comercial sagrado corazon de jesus,55,55,no,201610,20739,2012,semestre 1,2012-02-01
201210,11912009,f,21,i.e.t. comercial sagrado corazon de jesus,54,58,no,201610,20739,2012,semestre 1,2012-02-01
201210,11912010,f,26,i.e.t. comercial sagrado corazon de jesus,45,42,si,201720,20739,2012,semestre 1,2012-02-01
201210,11912011,f,28,ie albert einstein,53,56,si,201220,20739,2012,semestre 1,2012-02-01
201210,11912013,f,28,i.e. normal superior sor josefa del castillo y guevara,44,44,si,201220,20739,2012,semestre 1,2012-02-01
201210,11912014,f,27,i.e. agricola antonio narino,37,34,si,201310,20739,2012,semestre 1,2012-02-01
201210,11912015,f,20,i.e. normal superior sor josefa del castillo y guevara,60,58,no,201610,20739,2012,semestre 1,2012-02-01
201210,11912016,m,31,ie normal superior - saboya,47,46,si,201220,20739,2012,semestre 1,2012-02-01
201210,11912019,m,29,ie albert einstein,43,42,si,201610,20739,2012,semestre 1,2012-02-01
201210,11912020,m,26,col militar coronel fray jose ignacio marino,49,49,no,201910,20739,2012,semestre 1,2012-02-01
201210,11912021,f,24,colegio nuestra senora de nazareth,43,38,no,201610,20739,2012,semestre 1,2012-02-01
201210,11912022,f,21,i.e. normal superior sor josefa del castillo y guevara,67,66,no,201610,20739,2012,semestre 1,2012-02-01
201210,33112012,f,24,colegio departamental mixto simon bolivar,55,56,no,201620,20706,2012,semestre 1,2012-02-01
201210,33112016,f,27,inst tec empresarial,48,48,no,201720,20706,2012,semestre 1,2012-02-01
201210,33112018,m,23,ie braulio gonzalez,45,43,no,201620,20706,2012,semestre 1,2012-02-01
201210,33112024,m,29,instituto san fernando ferrini,54,60,no,201820,20706,2012,semestre 1,2012-02-01
201210,33112025,f,26,ie el paraiso,50,58,si,201220,20706,2012,semestre 1,2012-02-01
201210,33112026,f,49,cent educ jose joaquin castro martinez,340,40,si,201510,20706,2012,semestre 1,2012-02-01
201210,33112029,f,22,inst tec empresarial,57,58,no,201620,20706,2012,semestre 1,2012-02-01
201210,33112031,f,27,ninguna,51,52,si,201210,20706,2012,semestre 1,2012-02-01
201210,33112050,f,31,colegio nuestra senora del rosario - tunja,337,141,si,201210,20706,2012,semestre 1,2012-02-01
201210,33212006,f,23,institucion educativa colegio de sugamuxi,52,45,no,201610,20716,2012,semestre 1,2012-02-01
201210,33212008,f,26,ie braulio gonzalez,47,50,si,201210,20716,2012,semestre 1,2012-02-01
201210,33212018,f,22,institucion educativa politecnico alvaro gonzalez santana,55,53,no,201620,20716,2012,semestre 1,2012-02-01
201210,33212024,m,26,ie camilo torres restrepo - mani,47,48,no,201810,20716,2012,semestre 1,2012-02-01
201210,33212039,f,24,instituto politecnico san vicente de paul,43,38,no,201810,20716,2012,semestre 1,2012-02-01
201210,33312003,f,27,colegio cooperativo gabriel camaro perez,48,50,no,202010,20706,2012,semestre 1,2012-02-01
201210,33312006,f,24,institucion educativa tecnico industrial gustavo jimenez,49,51,no,201620,20706,2012,semestre 1,2012-02-01
201210,33312009,f,39,institucion educativa integrado joaquin gonzalez camargo,41,38,no,201910,20706,2012,semestre 1,2012-02-01
201210,33312010,m,26,institucion educativa tecnico industrial gustavo jimenez,51,46,si,201310,20706,2012,semestre 1,2012-02-01
201210,33312013,f,28,colegio ciudad del sol,38,38,si,201220,20706,2012,semestre 1,2012-02-01
201210,33312015,m,25,colegio ciudad del sol,40,40,no,201820,20706,2012,semestre 1,2012-02-01
201210,33312023,f,23,colegio celco,54,55,no,201710,20706,2012,semestre 1,2012-02-01
201210,33312025,f,28,institucion educativa colegio de sugamuxi,48,46,no,201820,20706,2012,semestre 1,2012-02-01
201210,33312026,m,22,institucion educativa tecnico industrial gustavo jimenez,79,67,no,201620,20706,2012,semestre 1,2012-02-01
201210,33312027,m,24,liceo anglo americano de sogamoso,50,42,no,201710,20706,2012,semestre 1,2012-02-01
201210,33312029,m,37,institucion educativa integrado joaquin gonzalez camargo,40,38,si,201210,20706,2012,semestre 1,2012-02-01
201210,33312030,f,29,colegio nuestra senora del rosario - tunja,52,68,no,201810,20706,2012,semestre 1,2012-02-01
201210,33312038,f,26,i.e. armando solano,41,41,si,201210,20706,2012,semestre 1,2012-02-01
201210,33312039,f,33,liceo anglo americano de sogamoso,52,48,no,201910,20706,2012,semestre 1,2012-02-01
201210,33312040,m,25,institucion educativa colegio de sugamuxi,59,59,no,201710,20706,2012,semestre 1,2012-02-01
201210,33312041,f,24,colegio nuestra senora del rosario - ayapel,58,61,no,201620,20706,2012,semestre 1,2012-02-01
201210,33312048,m,23,institucion educativa colegio de sugamuxi,55,66,no,201710,20706,2012,semestre 1,2012-02-01
201210,33312050,f,30,colegio cooperativo reyes patria,46,50,no,202020,20706,2012,semestre 1,2012-02-01
201210,33312053,f,23,institucion educativa politecnico alvaro gonzalez santana,46,43,no,201810,20706,2012,semestre 1,2012-02-01
201210,33312058,m,55,i.e.t agricola,61,61,si,201210,20706,2012,semestre 1,2012-02-01
201210,33312061,f,33,institucion educativa integrado joaquin gonzalez camargo,42,39,si,201720,20706,2012,semestre 1,2012-02-01
201210,33312062,m,29,"col nuevo colombo americano-bogota, d.c.",41,32,si,201610,20706,2012,semestre 1,2012-02-01
201210,33312064,f,27,institucion educativa integrado joaquin gonzalez camargo,55,56,no,201710,20706,2012,semestre 1,2012-02-01
201210,33312068,m,25,institucion educativa politecnico alvaro gonzalez santana,56,53,si,201310,20706,2012,semestre 1,2012-02-01
201210,33312069,f,29,inst educ colegio nacional enrique olaya herrera-puerto lopez,51,46,no,202010,20706,2012,semestre 1,2012-02-01
201210,33412001,f,22,colegio nuestra senora de nazareth,47,48,no,201620,20706,2012,semestre 1,2012-02-01
201210,33412002,f,24,i.e.t. comercial sagrado corazon de jesus,43,44,no,201710,20706,2012,semestre 1,2012-02-01
201210,33412003,m,24,i.e. jose joaquin casas,51,48,no,201620,20706,2012,semestre 1,2012-02-01
201210,33412004,f,23,i.e. normal superior sor josefa del castillo y guevara,57,57,no,201620,20706,2012,semestre 1,2012-02-01
201210,33412008,m,31,i.e. jose joaquin casas,45,46,no,201820,20706,2012,semestre 1,2012-02-01
201210,33412010,f,24,i.e. normal superior sor josefa del castillo y guevara,46,51,no,201710,20706,2012,semestre 1,2012-02-01
201210,33412013,f,23,colegio nuestra senora de nazareth,46,52,no,201620,20706,2012,semestre 1,2012-02-01
201210,33412015,m,25,i.e. jose joaquin casas,47,54,no,201720,20706,2012,semestre 1,2012-02-01
201210,33412017,m,27,colegio seminario menor diocesano,45,45,si,201210,20706,2012,semestre 1,2012-02-01
201210,33412019,m,25,i.e. jose joaquin casas,40,38,no,201720,20706,2012,semestre 1,2012-02-01
201210,33412020,f,23,i.e. normal superior sor josefa del castillo y guevara,54,50,no,201620,20706,2012,semestre 1,2012-02-01
201210,33412023,m,36,i.e. tec ind julio florez,44,44,si,201320,20706,2012,semestre 1,2012-02-01
201210,33412024,f,27,col militar coronel fray jose ignacio marino,48,47,si,201210,20706,2012,semestre 1,2012-02-01
201210,55112002,f,37,colegio pio xii de cundinamarca,47,46,si,201410,20711,2012,semestre 1,2012-02-01
201210,55112004,m,28,institucion educativa integrado joaquin gonzalez camargo,55,76,si,201210,20711,2012,semestre 1,2012-02-01
201210,55112005,m,28,ie tec jose ignacio de marquez,47,47,si,201320,20711,2012,semestre 1,2012-02-01
201210,55112006,f,21,instituto de educacion media diversificada inem carlos arturo torres,54,55,no,201620,20711,2012,semestre 1,2012-02-01
201210,55112008,m,26,institucion educativa uribesco,42,40,si,201210,20711,2012,semestre 1,2012-02-01
201210,55112010,m,22,institucion educativa politecnico alvaro gonzalez santana,54,51,no,201620,20711,2012,semestre 1,2012-02-01
201210,55112011,f,29,colegio jesus eucaristia,49,49,si,201210,20711,2012,semestre 1,2012-02-01
201210,55212001,m,31,colegio boston,430,47,si,201220,20710,2012,semestre 1,2012-02-01
201210,55212002,m,24,institucion educativa antonio jose sandoval gomez de tunja,57,56,no,201620,20710,2012,semestre 1,2012-02-01
201210,55212003,f,28,i.e. valle de tenza,42,43,si,201220,20710,2012,semestre 1,2012-02-01
201210,55212004,m,22,colegio heladia mejia  (ied),431,58,no,201620,20710,2012,semestre 1,2012-02-01
201210,55212005,m,33,i.e.t. jose acevedo y gomez,42,47,si,201510,20710,2012,semestre 1,2012-02-01
201210,55212006,f,26,ie jesus bernal pinzon,37,37,si,201220,20710,2012,semestre 1,2012-02-01
201210,55212007,m,24,colegio salesiano,43,42,no,201710,20710,2012,semestre 1,2012-02-01
201210,55212008,m,25,instituto tecnico industrial francisco de paula santander,47,50,si,201510,20710,2012,semestre 1,2012-02-01
201210,55212009,m,28,inst solucion educativa soled,282,31,si,201210,20710,2012,semestre 1,2012-02-01
201210,55212011,m,28,colegio colombo britanico - tunja,58,57,si,201310,20710,2012,semestre 1,2012-02-01
201210,55212012,m,28,inst tec empresarial,41,42,si,201210,20710,2012,semestre 1,2012-02-01
201210,55312001,f,27,ie luis hernandez vargas,36,34,si,201310,20699,2012,semestre 1,2012-02-01
201210,55312002,f,23,col. ntra sra del rosario-chiquinquira,50,52,no,201710,20699,2012,semestre 1,2012-02-01
201210,55312003,f,29,institucion educativa los libertadores - sogamoso,42,47,si,201620,20699,2012,semestre 1,2012-02-01
201210,55312004,f,21,i.e. antonio narino,54,54,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312005,m,32,institucion educativa tecnico industrial gustavo jimenez,42,41,si,201410,20699,2012,semestre 1,2012-02-01
201210,55312006,m,29,i.e. el rosario - florencia,44,46,no,202110,20699,2012,semestre 1,2012-02-01
201210,55312007,f,21,ie ezequiel moreno y diaz,48,58,no,201610,20699,2012,semestre 1,2012-02-01
201210,55312008,f,24,ninguna,50,52,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312010,f,21,colegio jesus eucaristia,45,46,no,201610,20699,2012,semestre 1,2012-02-01
201210,55312012,m,24,colegio jesus eucaristia,39,47,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312013,m,23,instituto de educacion media diversificada inem carlos arturo torres,55,58,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312014,f,23,ie lucas caballero calderon,373,53,no,201710,20699,2012,semestre 1,2012-02-01
201210,55312016,f,21,ie ezequiel moreno y diaz,52,59,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312017,f,28,ie camilo torres restrepo - mani,44,49,no,201920,20699,2012,semestre 1,2012-02-01
201210,55312019,m,24,institucion educativa antonio jose sandoval gomez de tunja,50,51,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312020,f,26,col. nuestra senora de fatima,59,57,si,201210,20699,2012,semestre 1,2012-02-01
201210,55312021,m,20,i.e.t. san luis,55,56,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312022,m,27,i.e. tec y acad antonio narino,44,50,si,201210,20699,2012,semestre 1,2012-02-01
201210,55312024,f,27,inst tec integrado de trinidad,49,45,si,201411,20699,2012,semestre 1,2012-02-01
201210,55312029,f,22,colegio de boyaca,49,49,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312030,m,21,inst tec empresarial,48,43,no,201610,20699,2012,semestre 1,2012-02-01
201210,55312032,f,27,inst tec diversificado monterrey,45,41,si,201210,20699,2012,semestre 1,2012-02-01
201210,55312035,m,26,liceo de la presentacion,47,44,si,201220,20699,2012,semestre 1,2012-02-01
201210,55312036,f,22,colegio de boyaca,55,49,no,201610,20699,2012,semestre 1,2012-02-01
201210,55312037,m,23,colegio parroquial  integrado santa cruz-cachipay,475,56,no,201610,20699,2012,semestre 1,2012-02-01
201210,55312039,m,32,instituto politecnico jose celestino mutis - neiva,44,45,no,202010,20699,2012,semestre 1,2012-02-01
201210,55312040,f,25,colegio nuestra senora de los angeles,51,52,si,201210,20699,2012,semestre 1,2012-02-01
201210,55312042,f,21,i.e. antonio narino,51,55,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312044,m,22,gimnasio campestre santo domingo,51,54,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312046,f,24,ie jesus bernal pinzon,42,40,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312049,f,23,institucion educativa san jeronimo emiliani,46,46,no,201720,20699,2012,semestre 1,2012-02-01
201210,55312051,m,28,col coop prospero pinzon,58,54,si,201210,20699,2012,semestre 1,2012-02-01
201210,55312052,m,22,ie leon de greiff,49,59,no,201610,20699,2012,semestre 1,2012-02-01
201210,55312053,m,29,colegio jesus eucaristia,45,48,si,201320,20699,2012,semestre 1,2012-02-01
201210,55312055,f,21,ie camilo torres restrepo - mani,51,51,no,201610,20699,2012,semestre 1,2012-02-01
201210,55312057,f,31,ie luis hernandez vargas,41,41,si,201520,20699,2012,semestre 1,2012-02-01
201210,55312058,m,24,colegio colombo britanico - tunja,56,56,no,201710,20699,2012,semestre 1,2012-02-01
201210,55312059,f,23,inst tec empresarial,52,49,no,201710,20699,2012,semestre 1,2012-02-01
201210,55312061,f,36,inst autonomo shakespeare y cervantes,52,42,si,201410,20699,2012,semestre 1,2012-02-01
201210,55312062,f,26,ie camilo torres restrepo - mani,48,55,si,201510,20699,2012,semestre 1,2012-02-01
201210,55312063,m,26,inst tec empresarial,42,52,si,201810,20699,2012,semestre 1,2012-02-01
201210,55312064,f,21,ie centro social,50,46,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312065,f,28,colegio salesiano duitama,53,54,si,201720,20699,2012,semestre 1,2012-02-01
201210,55312066,m,23,i.e. fernando rodriguez,40,37,no,201710,20699,2012,semestre 1,2012-02-01
201210,55312067,m,24,instituto tecnico superior industrial,53,61,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312068,f,22,inst tec empresarial,47,42,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312069,m,30,ie tecnica de mongui,360,42,si,201410,20699,2012,semestre 1,2012-02-01
201210,55312070,f,26,colegio departamental panamericano,50,60,si,201220,20699,2012,semestre 1,2012-02-01
201210,55312071,m,28,institucion educativa integrado joaquin gonzalez camargo,48,51,si,201420,20699,2012,semestre 1,2012-02-01
201210,55312072,f,31,instituto de educacion media diversificada inem carlos arturo torres,46,47,si,201310,20699,2012,semestre 1,2012-02-01
201210,55312073,m,32,ie ignacio gil sanabria,44,45,si,201320,20699,2012,semestre 1,2012-02-01
201210,55312075,f,25,colegio cristiano filadelfia,41,53,no,201620,20699,2012,semestre 1,2012-02-01
201210,55312076,m,26,ie juan jose rondon - soata,46,59,si,201620,20699,2012,semestre 1,2012-02-01
201210,55512001,m,31,institucion educativa tecnico industrial gustavo jimenez,440,52,si,201320,53841,2012,semestre 1,2012-02-01
201210,55512003,m,28,gimnasio campestre del norte,54,57,si,201210,53841,2012,semestre 1,2012-02-01
201210,55512004,f,27,ie camilo torres restrepo - mani,51,53,si,201720,53841,2012,semestre 1,2012-02-01
201210,55512005,f,25,colegio la presentacion - duitama,48,50,no,201710,53841,2012,semestre 1,2012-02-01
201210,55512006,f,23,colegio san jose de calasanz - duitama,46,50,no,201720,53841,2012,semestre 1,2012-02-01
201210,55512007,m,22,institucion educativa colegio de sugamuxi,56,53,no,201620,53841,2012,semestre 1,2012-02-01
201210,55512008,m,26,ie san antonio,52,52,si,201210,53841,2012,semestre 1,2012-02-01
201210,55512011,m,28,colegio militar inocencio chinca,440,49,si,201310,53841,2012,semestre 1,2012-02-01
201210,55512012,f,22,inst tec empresarial,61,66,no,201710,53841,2012,semestre 1,2012-02-01
201210,55512014,f,21,i.e. luis hernandez vargas,47,48,no,201610,53841,2012,semestre 1,2012-02-01
201210,55512015,f,22,i.e. jose antonio galan - cumaral,54,53,no,201620,53841,2012,semestre 1,2012-02-01
201210,55512016,m,27,i.e. jose joaquin casas,480,56,si,201410,53841,2012,semestre 1,2012-02-01
201210,55512017,m,22,ie normal superior de monterrey,54,55,no,201620,53841,2012,semestre 1,2012-02-01
201210,55512018,m,28,ie san antonio,44,46,si,201520,53841,2012,semestre 1,2012-02-01
201210,55512019,f,24,gimnasio campestre del norte,56,59,no,201710,53841,2012,semestre 1,2012-02-01
201210,55512022,f,19,escuela normal superior leonor alvarez pinzon,51,50,no,201610,53841,2012,semestre 1,2012-02-01
201210,55512024,m,21,ie tecnica nacionalizada de samaca,411,54,no,201610,53841,2012,semestre 1,2012-02-01
201210,55512026,f,25,colegio de boyaca,46,46,no,201810,53841,2012,semestre 1,2012-02-01
201210,55512027,f,27,i.e. marco aurelio bernal,47,48,no,201710,53841,2012,semestre 1,2012-02-01
201210,55512028,f,22,instituto integrado de comercio,383,57,no,201620,53841,2012,semestre 1,2012-02-01
201210,55512029,m,26,centro educativo san agustin,42,47,si,201220,53841,2012,semestre 1,2012-02-01
201210,55512030,f,22,colegio nuestra senora de nazareth,49,52,no,201620,53841,2012,semestre 1,2012-02-01
201210,55512031,f,24,ie ignacio gil sanabria,46,46,no,201710,53841,2012,semestre 1,2012-02-01
201210,55512032,f,26,institucion educativa jorge eliecer gaitan,326,203,si,201220,53841,2012,semestre 1,2012-02-01
201210,55512033,f,27,colegio nueva esperanza unad,49,51,si,201220,53841,2012,semestre 1,2012-02-01
201210,55512034,m,27,i.e.t agricola,51,50,si,201420,53841,2012,semestre 1,2012-02-01
201210,55512035,m,30,ie normal superior - saboya,42,51,si,201220,53841,2012,semestre 1,2012-02-01
201210,55512036,m,27,liceo moderno,44,45,si,201510,53841,2012,semestre 1,2012-02-01
201210,55512037,f,22,colegio nacionalizado integrado,51,56,no,201720,53841,2012,semestre 1,2012-02-01
201210,55512038,f,26,colegio la presentacion - duitama,50,49,si,201410,53841,2012,semestre 1,2012-02-01
201210,55512039,f,26,ie normal superior de monterrey,42,47,si,201220,53841,2012,semestre 1,2012-02-01
201210,55512040,f,27,ie rio de piedras,54,52,no,201910,53841,2012,semestre 1,2012-02-01
201210,55512041,m,26,ninguna,408,43,no,202110,53841,2012,semestre 1,2012-02-01
201210,55512042,f,24,liceo de la presentacion,50,50,no,201710,53841,2012,semestre 1,2012-02-01
201210,55512043,f,26,colegio corporacion santo domingo,45,46,si,201220,53841,2012,semestre 1,2012-02-01
201210,55512045,f,22,i.e. silvino rodriguez,53,54,no,201620,53841,2012,semestre 1,2012-02-01
201210,55512049,f,26,ie siglo xxi,47,47,no,201820,53841,2012,semestre 1,2012-02-01
201210,55512050,m,26,inst tec empresarial,41,42,si,201510,53841,2012,semestre 1,2012-02-01
201210,55512051,f,27,instituto de educacion media diversificada inem carlos arturo torres,337,214,si,201310,53841,2012,semestre 1,2012-02-01
201210,55512052,f,23,colegio la presentacion - duitama,49,50,no,201720,53841,2012,semestre 1,2012-02-01
201210,55512053,m,23,instituto de educacion media diversificada inem carlos arturo torres,443,51,no,201720,53841,2012,semestre 1,2012-02-01
201210,55512054,f,27,i.e.t. comercial,54,50,si,201210,53841,2012,semestre 1,2012-02-01
201210,55512055,f,23,escuela normal superior leonor alvarez pinzon,49,48,no,201620,53841,2012,semestre 1,2012-02-01
201210,55512056,f,25,ie simon bolivar (el chire),47,51,no,201620,53841,2012,semestre 1,2012-02-01
201210,55512057,m,22,colegio salesiano maldonado,59,55,no,201620,53841,2012,semestre 1,2012-02-01
201210,55512058,f,21,i.e. antonio narino,59,58,no,201610,53841,2012,semestre 1,2012-02-01
